source,target,weight
0,574,796.7233921321376
0,582,993.3149959868432
0,594,788.1425723720191
0,595,811.3395223355986
0,1409,722.7314000721802
0,1417,758.5342680756058
0,1424,656.920494692441
0,1434,964.6589875206404
0,1437,509.8469110935501
0,1487,650.190423210836
0,1501,87.20215703201447
0,1502,174.90092294368608
0,1606,77.51665231286174
0,1638,979.6222464101718
0,1777,903.0245272699116
0,1789,191.2477675034452
0,1790,213.4723860942896
0,1800,847.4452122806839
0,1892,963.4022832348973
0,1893,990.5559181653442
0,1915,163.1234971641827
0,1929,208.4094746387404
0,1930,158.44173114523875
0,1935,887.1417132348685
0,1936,915.6489767220276
0,2002,745.0264481751746
0,2003,704.9211576218809
0,2004,673.4346662716889
0,2005,735.7865994248327
0,2018,635.1659532565371
0,2205,941.0310529558892
0,2207,922.386643509588
0,2208,19.782647518184323
0,2209,101.2740863523205
0,2210,199.53815374007957
0,2279,906.7157921035348
0,2284,663.6611948823287
0,2285,645.7598983255527
0,2286,768.1101515110722
0,2287,671.8831578392098
0,2288,749.4547078869151
0,2290,733.4516712863822
0,2429,732.8775934816164
0,2450,795.367676699174
0,2451,818.320100389272
0,2452,783.2455200878356
0,2454,789.0400895387668
0,2457,517.7848782492192
0,2551,876.3773103054926
0,2555,792.4130055048015
0,2573,931.4381152753516
0,2574,861.9830893316125
0,2677,116.0606066652064
0,2792,681.3373040619942
0,3092,766.7078224311088
0,3188,441.5389640111928
0,4135,633.84242021649
0,4167,650.2839586094308
0,4180,722.0656096605104
0,4181,820.109529952979
0,4191,957.436826425644
0,4193,999.67075610314
0,4201,937.5609175728264
0,4202,962.4615312207382
0,4203,971.5852689950144
0,4293,784.4026903869229
0,4301,834.8042614584076
0,4302,827.7150481962399
0,4652,660.6530230344719
0,4653,662.5213346621493
0,4654,620.5679724145473
0,4655,638.7139328089081
0,4758,903.7375975872268
0,4759,927.0246822944496
0,4760,934.5860480383038
0,4761,909.0507598788108
0,4762,913.1290083537044
0,4763,438.4969894864112
0,4764,457.5462140899571
0,4765,549.1234408077495
0,4772,970.8918021315012
0,4774,986.6029393531268
0,4777,993.4924004886906
0,4778,972.8301082925052
0,4779,908.1580399864706
0,4780,903.2479182040354
0,4781,890.256524243963
0,4782,792.5002663496131
0,4783,933.3267521709
0,4784,912.000642424348
0,4785,905.0733266350504
0,4786,903.473427515866
0,5777,878.696364855608
0,5778,875.960447565087
0,5779,668.8307085996418
0,6179,742.9802448738255
0,6180,754.5062489670906
0,6181,786.7430711957695
0,6182,779.9377364447444
0,6184,388.8458021240104
0,6185,385.447422419836
0,6186,427.0599158247592
0,6187,480.7491223375922
0,6188,487.43333543059646
0,6189,492.8259148274175
0,6190,489.8504933026133
0,6196,607.829730743003
0,6197,301.6406253939141
0,6199,418.4422116640132
0,6200,437.381363430492
0,6201,529.9407097643846
0,6206,394.7995166156824
0,6216,631.7483453938029
0,6217,691.7194733987325
0,6218,508.318956743225
0,6219,500.8376382810043
0,6220,751.594616340485
0,6221,704.1784751435524
0,6222,569.3937345867863
0,6223,596.4426405618317
0,6224,426.0902666827868
0,6225,431.518506916583
0,6226,676.4492577329903
0,6228,683.8546308089915
0,6229,667.0700673936383
0,6230,667.2976069933612
0,6231,667.6769310668159
0,6232,686.2114215555737
0,6242,839.5270655854148
0,6243,852.1463039800925
0,6253,937.2655065666722
0,6254,943.68797755425
0,6255,679.811724620125
0,6256,934.613928524397
0,6257,675.1967293769685
0,6258,674.3878930147872
0,6259,673.6640055686504
0,6260,914.9364723043366
0,6261,667.4213774361734
0,6475,916.9335961034138
0,6476,898.9854833874108
0,6477,909.8477335650216
0,6480,935.4486161190129
0,6481,833.9829100907496
0,6482,780.4818504947488
0,6483,720.4590786523295
0,6484,692.4393814511567
0,6485,718.8122287527417
0,6486,693.1732359727305
0,6487,851.3462495979318
0,6488,777.782711467183
0,6489,844.2378393366905
0,6490,724.3510075506292
0,6491,718.4101193203314
0,6492,591.3459186694422
0,6493,638.2316381566437
0,6903,693.9808695309916
0,6973,694.3078052350655
0,6986,357.6515578474834
0,6987,195.04649833599828
0,6988,295.4011255648627
0,6989,386.7484118314513
0,6990,415.8208384443914
0,6991,496.57531250899854
0,6992,489.7196329033298
0,6993,416.8116973964831
0,6995,645.2257565708903
0,6996,651.2071370730085
0,6997,657.4535282377458
0,6998,669.7305642767202
0,6999,675.5094277414371
0,7000,693.9905699039844
0,7001,699.8508937171721
0,7002,705.3772101923472
0,7003,712.0626700104053
0,7394,780.4080044085462
0,7395,796.6700849296386
0,7398,977.8531972407916
0,7399,971.0354778482232
0,7400,918.6867588198174
0,7402,809.2112047788675
0,7403,944.5098190381718
0,7404,782.313426653976
0,7405,810.7839047577189
0,7406,764.2315394803724
0,7407,832.6129343688864
0,7408,721.3002130305642
0,7409,939.8869984575254
0,7410,895.5869542386469
0,7411,749.1250165225481
0,7412,752.6584734556959
0,7413,726.1634448062116
0,7414,715.7948181828447
0,7415,728.4195142901663
0,7416,973.7385909033112
0,8693,858.119255494498
0,9161,179.51508067184253
0,9162,38.42497641252072
0,9163,110.94252955202468
0,9164,137.89842294109198
0,9165,147.9710049135571
0,9166,121.42181932788635
0,9167,157.19606303553002
0,9168,133.9952172442952
0,9483,428.4145659481905
0,9517,305.9346490364195
0,9518,315.44597154946644
0,9519,310.8471823405488
0,9520,360.0748260524359
0,9521,408.0275152334042
0,9522,420.3189750264684
0,9523,440.1529497606772
0,9589,729.6215525031937
0,9591,698.991675804973
0,9788,155.29762596534604
0,9959,642.402358543369
0,10025,928.0676905206708
0,10216,973.3648758925868
0,10217,979.309901735956
0,10673,860.1358624035366
0,10674,879.1472332198731
0,10675,863.8150708836807
0,10681,644.5677549306891
0,10714,979.0680562542008
0,10715,977.2799025679676
0,10716,974.8469684157336
0,10717,926.5032513148584
0,10718,910.603312037351
0,10719,893.3037310982606
0,11064,916.5366426972968
0,11099,187.4833904776158
0,11176,829.255396624777
0,11178,564.181924948166
0,11414,98.47610225199548
0,11471,687.6641922657521
0,11472,640.4307515320534
0,11473,429.0479837211111
0,11475,387.56012815591913
0,11477,669.8306516780851
0,11478,403.3850573527284
0,11747,587.2232099419864
0,11803,427.5935125761999
0,11804,400.9764202936158
0,11805,872.3258837456083
0,11806,400.8121017228671
0,11807,407.4930551226113
0,11808,404.64729035726015
0,11809,426.7880526694896
0,11810,443.2220233773217
0,11811,429.8728856644689
0,11812,445.2204439532551
0,11813,441.4507556983621
0,11814,427.98759458087295
0,11815,411.3407142571921
0,11817,448.9423060896301
0,11818,454.90140370624175
0,11821,347.1693831798515
0,11829,159.73148547288233
0,11962,646.4061220884432
0,11963,641.4453831934001
0,12626,962.7376400110488
0,12627,943.4958442381768
0,12758,35.78091385042205
0,12759,203.8980378297208
0,12910,682.1921979246148
0,13110,711.2324043462739
0,13111,496.6414404949837
0,13140,469.5656284204226
0,13165,834.8325377079373
0,13166,643.1375254510908
0,13171,276.40391152694554
0,13230,876.4667667003055
0,13462,869.234727902523
0,13536,426.3482639086006
0,13537,425.5336583184479
0,13539,512.2309974700013
0,13540,499.3721813113243
0,13720,400.6354978150573
0,13733,915.3508609151156
0,13934,451.28966150672886
0,14131,758.2670166395797
0,14415,606.7529418131088
0,14704,428.8677128274979
0,15227,883.3034151694877
0,15228,911.4627980936576
0,15237,900.992099817062
0,15239,302.3230251267884
0,15240,524.5808816704779
0,15241,532.4194528951602
0,15274,493.8087655816835
0,15275,500.65878632906936
0,15323,465.7944276158497
0,15324,901.2723815723136
0,15325,468.3504679080161
0,15326,895.9745427031072
0,15329,564.9985504288987
0,15330,871.4932106587241
0,15331,676.7042892382995
0,15332,441.96787600377047
0,15339,644.9619736335072
0,15414,900.5019869775609
0,15763,781.3093430779744
0,15816,444.4397345038629
0,15817,760.1275739263579
0,15818,717.8920699328569
0,15936,644.7431195610783
0,15947,548.7129323356298
0,16017,445.229242131948
0,16089,876.136320856335
0,16090,875.614312914658
0,16091,875.3167358311053
0,16092,903.2636000438316
0,16093,903.0886853626791
0,16094,874.9959241718816
0,16095,876.2746819518918
0,16098,885.2209127060447
0,16099,452.0023733533473
0,16103,881.1550108389149
0,16105,405.17768163356936
0,16106,411.9884631207
0,16107,410.15440407166926
0,16108,413.3407460593554
0,16109,416.6458133064132
0,16110,415.2349847420404
0,16111,697.6715289431226
0,16114,693.7433517964524
0,16115,756.7221571736526
0,16116,923.2864106902944
0,16117,485.9295567826491
0,16118,482.38395877480855
0,16119,492.6896372586868
0,16120,479.0242906963961
0,16131,403.2061504466775
0,16201,915.032535520246
0,16202,918.4087414423216
0,16206,916.6398122707892
0,16264,443.2454838864927
0,16265,420.311114471271
0,16266,448.49826916129547
0,16267,445.6388768336183
0,16271,902.1390609584382
0,16282,981.2817751190336
0,16287,963.0923284348172
0,16339,875.161636802256
0,16344,998.5446834138806
0,16395,926.848024884046
0,16396,922.6977009080186
0,16822,959.9051071033166
0,16963,881.7112553079733
0,16964,888.8592129747684
0,16965,878.0091796005656
0,16966,887.6680373946067
0,16967,877.6406695139133
0,16968,876.7880951694317
0,16983,515.8158273863056
0,16984,513.193274743805
0,17096,383.8119474766267
0,17189,916.7589281668606
0,17231,517.0244098280671
0,17255,454.4838256849801
0,17256,492.8376155665161
0,17257,440.2883316814488
0,17271,896.1157972399833
0,17276,891.0413725170201
0,17281,939.385412652929
0,17283,897.806531431283
0,17287,895.2198214884605
0,17288,900.7141612236397
0,17297,984.1281481666424
0,17333,475.5277408441793
0,17334,516.8580355852048
0,17335,512.2880287785922
0,17336,545.0510025588577
0,17337,508.09172078907005
0,17338,504.0957705576104
0,17339,576.0523386566686
0,17340,542.8712774813981
0,17341,485.511365160821
0,17343,444.3686861826967
0,17375,243.26104294980823
0,17379,338.703031780371
0,17380,281.3866665552245
0,17381,429.2648273204688
0,17382,345.53313409097336
0,17456,920.4303876022057
0,17457,904.9533530973868
0,17464,625.0009842743864
0,17465,697.145843379771
0,17466,631.2638747196115
0,17483,507.85254605818267
0,17515,773.5504513058596
0,17516,696.294957720885
0,17517,710.5290477721817
0,17601,877.3579656452321
0,17637,906.0429784434024
0,17638,901.2503614524968
0,17640,900.6333812907742
0,17642,900.1666757589672
0,17643,987.5155323868726
0,17644,900.5551433731222
0,17645,982.845066927121
0,17646,977.573110848268
0,17647,908.8909554783812
0,17649,906.5849222672869
0,17650,955.0668622960784
0,17711,905.9266343518116
0,17726,907.5996667276992
0,17728,910.2935407461651
0,17794,956.6735990316604
0,17795,993.9960842656488
0,17799,908.1166095044636
0,17804,948.0890938643024
0,17868,979.7714065951347
0,18056,601.959972912129
0,18057,581.8168637834569
0,18058,598.1611668245235
0,18059,682.0045858870693
0,18060,591.8447222574194
0,18135,909.893380385234
0,18136,940.4598963919371
0,18137,901.712614788875
0,18138,902.7830413890454
0,18139,920.0303083286788
0,18140,921.2932208945156
0,18141,922.1918347060388
0,18142,969.4359017955204
0,18143,967.6569634457536
0,18321,957.5582439484912
0,18322,952.6151809065542
0,18323,812.286024074536
0,18324,830.3428645690503
0,18325,824.6929596398372
0,18326,853.3950004936503
0,18327,847.678995899535
0,18328,899.9617535857391
0,18329,933.1868737562844
0,18330,942.9741985841326
0,18331,947.7568720815608
0,18332,962.832698905822
0,18353,987.077475266854
0,18356,996.9326453890288
0,18516,551.4012689839401
0,18517,502.9085951672648
0,18525,785.1993834641305
0,18526,807.8461940319169
0,18560,886.0600825660844
0,18578,634.5492263194403
0,18579,534.6662205948563
0,18580,702.4183069727854
0,18585,661.3543864246953
0,18618,718.2143528929389
0,18619,569.6507073077706
0,18620,573.6583222364994
0,18621,789.4905102716426
0,18622,737.8026292944555
0,18623,437.7401085850447
0,18624,556.312651096407
0,18625,769.5381781778708
0,18626,565.1540202574304
0,18627,714.487083710161
0,18633,924.8764224773918
0,18634,959.9280744302508
0,18635,901.968435877219
0,18636,664.4092126765083
0,18639,935.5317715915052
0,18641,939.2727943146668
0,18642,909.1201349117928
0,18643,947.4504893739366
0,18645,831.6599738657884
0,18761,410.3463045446507
0,18762,619.8351567586062
0,18763,380.09848311247765
0,18803,539.6765008598765
0,18804,567.322857534234
0,18805,557.6860239355685
0,18806,509.2007405150194
0,18807,545.5461696610809
0,18808,852.6867632013914
0,18809,865.6697116558128
0,18810,841.6398513921771
0,18843,878.0989502236209
0,18845,913.261399138104
0,18883,447.3412797884618
0,18904,890.114723996587
0,18905,811.1632045483385
0,18906,867.0367449608922
0,18907,804.0087814834903
0,18908,773.451795856706
0,18932,434.1245623234802
0,18933,489.7656901685313
0,18934,319.737934497057
0,18935,402.5530299070582
0,18936,468.5714026899477
0,18938,391.2287191568437
0,18939,157.37438720556753
0,18942,314.3754470285337
0,18943,560.3263329945152
0,18944,516.657902647908
0,18945,357.2498781400286
0,18946,566.7800234720644
0,18947,548.4952967587222
0,18948,484.4663439020953
0,18949,466.7855327717888
0,18950,572.4849924150084
0,18951,553.964619764522
0,18952,535.9403549999197
0,18953,497.9179658174732
0,18954,506.1563686376245
0,18967,396.6564007666951
0,18968,426.9128870228183
0,18994,900.8592858708756
0,19016,896.4340959968569
0,19195,961.6976316280286
0,19198,838.3746010157305
0,19214,233.20091434981245
0,19215,302.73528447198987
0,19239,466.10205986323786
0,19246,593.5577587841974
0,19372,635.2610134637087
0,19373,635.2511460674054
0,19374,646.0567290200895
0,19375,684.6201305649416
0,19376,643.1198576965093
0,19377,635.1763120238655
0,19378,639.5846965086542
0,19379,635.0930671598722
0,19380,635.279781362139
0,19381,641.2696861512303
0,19382,633.3457023581112
0,19383,749.2895470427127
0,19384,770.5749764301261
0,19605,401.8119707717577
0,19609,491.59282812929473
0,19647,861.8701257780846
0,19814,934.8240146965916
0,19880,679.35330548759
0,20068,663.363443217021
0,20116,877.6220060668176
0,20144,879.5593911077204
0,20146,188.8305040958727
0,20147,212.94632510931385
0,20148,253.2135148598296
0,20152,761.6999545877902
0,20153,618.5470750715344
0,20154,747.8403263281701
0,20155,768.5405183566947
0,20156,715.9045391460588
0,20157,756.163981928031
0,20158,774.5942029977741
0,20159,957.126512193294
0,20160,843.9931998010185
0,20161,739.2018838981584
0,20163,961.8964311992078
0,20164,766.0692016707267
0,20198,900.2222443990628
0,20281,405.8851120678806
0,20282,388.8504192406789
0,20283,400.47763264701774
0,20475,966.8808830781986
0,20478,643.5850237349429
0,20479,642.3377007517598
0,20510,757.7575737405925
0,20561,525.4455165331731
0,20562,797.7002334564479
0,20563,815.8883744535652
0,20564,670.0717679978659
0,20565,542.5010925616598
0,20566,804.5501535059013
0,20567,733.0049120129622
0,20568,638.1388527694742
0,20569,554.916168238481
0,20570,530.9290475750348
0,20571,682.5741635289814
0,20572,784.9335928382596
0,20594,785.4828131485882
0,20595,354.6756074326681
0,20596,269.72765420290096
0,20597,391.3105387609657
0,20598,473.7413245306425
0,20602,462.9613176435773
0,20603,467.2612582038123
0,20794,937.484788996302
0,20795,938.9718407258596
0,20796,943.2700466904068
0,20797,949.8406252714468
0,20798,956.7351248881116
0,20799,968.8293260695016
0,20975,834.6537591605035
0,21023,816.4588488400024
0,21024,799.6302784150911
0,21025,828.6724066604438
0,21052,960.1760841374152
0,21356,435.800109652135
0,21357,655.9611688611336
0,21358,451.1676514842664
0,21359,341.6492903456584
0,21410,965.4800671678948
0,21559,736.4394358597461
0,21561,658.812555558097
0,21563,966.8727091532094
0,21566,782.9344304010148
0,21568,681.8509449382077
0,21570,988.23109213986
0,21573,856.6854657985372
0,21576,709.0527217183701
0,21579,918.970819483124
0,21657,535.6794696010933
0,21701,481.1411246061709
0,21753,879.3651703075735
0,21758,866.1601536949909
0,21800,910.9958971600232
0,21812,452.4124469951011
0,21813,470.255202468928
0,21814,304.9275359089808
0,21898,177.6418115723472
0,21899,635.262256635268
0,21900,642.7259839915207
0,21901,642.4998839198547
0,21903,700.1770432728163
0,21904,670.4921191185164
0,21905,740.4000173171311
0,21906,718.6292442932847
0,21907,704.857396211737
0,21908,662.5612593983864
0,21909,684.1053298059712
0,21910,669.0286921266645
0,21913,669.9247076837644
0,21914,682.1854204114624
0,21915,683.3718599853421
0,21916,679.9072513874908
0,21917,670.6534444572942
0,21925,900.7931023982396
0,21954,902.9594347733032
0,22080,121.49550875951824
0,22252,330.4838428856986
0,22253,448.83360839004297
0,22254,643.5573590501425
0,22255,483.24549301989833
0,22256,564.8446711668057
0,22257,387.5069244071776
0,22258,570.6505731511668
0,22259,677.7148906589155
0,22260,680.983461896603
0,22338,975.5244544958556
0,22434,93.02924498538069
0,22441,677.7417510665713
0,22443,786.5377923339868
0,22446,670.764956498534
0,22827,990.0102617471498
0,23071,167.25698186329453
0,23072,172.60648503921
0,23073,193.16517839692492
0,23134,524.7508609740779
0,23269,930.0856249895022
0,23270,927.4880986549156
0,23271,931.3480325531106
0,23461,326.8366796726221
0,23462,349.7995291677245
0,23463,380.8814028700304
0,23464,411.2315049401581
0,23465,471.68546518458913
0,23466,434.5543741741112
0,23467,852.3764421651748
0,23468,847.8345796947114
0,23469,835.1789061552206
0,23481,138.96182973845168
0,23733,882.6421688123235
0,23921,766.137822703208
0,23925,719.4557277749611
0,23957,172.69676699791293
0,23960,687.5306719234645
0,23961,665.6377127716399
0,23962,665.1069134541793
0,23963,675.4858126354742
0,23964,861.3557682938022
0,23965,882.8583880648674
0,23966,911.2517096924352
0,23967,845.4593357449733
0,23975,918.047959539986
0,24103,485.8957355016684
0,24122,883.7400496280482
0,24178,863.6820823652068
0,24476,504.8323475001157
0,24477,508.373990112195
0,24478,515.9751707283865
0,24479,512.403418852129
0,24500,872.6416976201438
0,24526,446.6650980294036
0,24527,168.13266673223455
0,24528,446.1647356327341
0,24529,448.5249936938576
0,24530,503.6972428763887
0,24531,582.561473669688
0,24532,567.5939618750741
0,24533,620.7998747888068
0,24534,575.2674442847987
0,24535,606.0432063791868
0,24536,550.9869293268384
0,24537,614.26109048938
0,24538,612.4018019809531
0,24539,502.530969403155
0,24540,608.7888023806229
0,24541,500.8086385291286
0,24542,497.8193224430967
0,24543,604.6752857221368
0,24548,638.0041227660596
0,24565,552.2720886213663
0,24566,148.6199839493213
0,24649,478.4910568453364
0,24653,808.6842137120261
0,24654,720.5747383915266
0,24655,500.3658157796477
0,24814,996.205517720598
0,24895,226.4342686970604
0,24896,228.68014883144363
0,24897,262.81292167268435
0,25464,829.4511587765453
0,25662,600.0596762995998
0,25663,599.3102723096147
0,25664,589.5713682496851
0,25665,504.3455539480086
0,25666,489.0841586814392
0,25667,503.0895523012321
0,25668,538.9552585642268
0,25669,583.3132374016851
0,25670,541.0815085985827
0,25739,938.0775098432212
0,25751,586.6548261879993
0,25836,588.8316512946865
0,25837,795.7328628209988
0,25838,798.839018687956
0,26447,414.2107974220064
0,26448,411.50233557580674
0,26714,63.81283639533428
0,26715,65.71227740617687
0,26716,68.03643823360453
0,26717,89.78732416833064
0,26718,91.27028005214618
0,26719,92.7256932112898
0,26720,157.88790804604406
0,26721,160.5320926924641
0,26916,913.2592019649578
0,26972,897.1697283616598
0,27419,965.0819978562512
0,27420,952.7626175842796
0,27421,953.2424125042191
0,27498,823.2018998148313
0,27698,845.2335894142471
0,27792,953.2741150404136
0,27796,724.0211910091368
0,27797,666.7871841938936
0,28028,225.4934126645203
0,28029,199.7325412422662
0,28030,208.08975870346907
0,28031,217.27184586322247
0,28032,394.7973334039859
0,28109,629.2197966279309
0,28811,196.86066365979352
0,28812,193.89641891606132
0,28813,160.84229140067615
0,29156,914.6736714354188
0,29158,906.5297852872028
0,29159,852.2108773980824
0,29166,713.981644656146
0,29631,826.2613634491604
0,29889,116.45907003505802
0,29890,148.20990723463404
0,29894,34.78636981080655
0,29895,164.79688942732807
0,29898,37.83056223092936
0,29899,179.62520126393537
0,29902,45.57566255887001
0,29905,57.03129440986329
0,29908,69.25591965844035
0,29911,85.59069537263404
0,29915,99.74727352380214
0,29918,120.1319155698502
0,29919,115.32059593442057
0,29922,118.27641052360391
0,29923,131.660838219324
0,30673,899.2102950054483
0,30888,438.26516070967966
0,30966,305.0086482884043
0,30967,318.64083891398195
0,30972,555.7437867433537
0,30974,934.4835454453232
0,30976,632.1511835798824
0,30977,792.8101206170395
0,30978,245.42378435567096
0,30979,98.51668349728769
0,30980,477.67598831387926
0,30981,540.9718945999975
0,30982,229.061791822576
0,30983,399.8146568298259
0,30984,776.415395932139
0,30985,619.9286740018666
0,30986,462.4353002502777
0,30987,949.0417000899148
0,31043,928.0098498157934
0,31217,901.23232239664
0,31235,608.8231733981166
0,31697,230.9342951044308
0,31698,302.52063310134656
0,31945,366.1352149963124
0,31946,362.11306739253865
0,31947,359.86049765688034
0,31948,364.0314159925225
0,31949,356.26100575662247
0,31950,357.9814695132612
0,31968,165.39891523841484
0,31969,161.76094121952306
0,31970,168.52217094548823
0,31971,170.347552931304
0,31972,839.5273024085833
0,31973,867.9656061076996
0,31978,704.1115798725165
0,32186,887.6535450197752
0,32359,914.1546807394068
0,32380,663.9852971961417
0,32632,957.844062453212
0,32633,671.501945697526
0,32634,680.1914337676099
0,32788,717.349255284102
0,32791,714.9701145152239
0,33090,726.8490992184892
0,33431,623.0510110076142
0,33433,606.2563739445536
0,33435,634.8419466612805
0,33436,601.3067219485098
0,33438,628.8284601755489
0,33666,837.5047119802415
0,34130,892.2804492617369
0,34256,963.4309806487568
0,34612,641.8615413322729
0,34647,899.8425684273947
0,34712,828.3451884392806
0,36685,806.6724096731788
0,36819,729.1282187775015
0,36820,650.0023009442717
0,36842,989.1800798544452
0,36843,783.6965060835538
0,37024,817.5016594705495
0,37025,816.0280297159826
0,37026,807.4094791011017
0,37027,809.3803109726539
0,37059,916.6102984986644
0,37127,797.9310144648302
0,37392,219.8624516570719
0,37551,532.3411612999283
0,37552,529.099153752325
0,37734,874.8031949378318
0,39585,546.5311430661656
0,39586,560.6556058723935
0,39587,938.8539999212874
0,39588,984.2178869224988
0,39591,994.6461852115574
0,41331,726.70471630262
0,41343,583.5710140233964
1,152,741.2819005977494
1,186,711.9754359092261
1,328,943.8989834697
1,330,246.1004926719249
1,515,729.4343241814058
